Short SAS name,Long SAS name,Label,Type,Length,SNF file sequence1,New variables
BENE_ID,BENE_ID,Encrypted CCW Beneficiary ID,CHAR,15.0,1.0,
CLM_ID,CLM_ID,Claim ID,CHAR,15.0,2.0,
THRU_DT,CLM_THRU_DT,Claim Through Date ,DATE,8.0,3.0,
CLM_LN,CLM_LINE_NUM,Claim Line Number,NUM,13.0,4.0,
CLM_TYPE,NCH_CLM_TYPE_CD,NCH Claim Type Code,CHAR,2.0,5.0,
REV_CNTR,REV_CNTR,Revenue Center Code,CHAR,4.0,6.0,
HCPCS_CD,HCPCS_CD,HCFA Common Procedure Coding System (HCPCS) Code,CHAR,5.0,7.0,
MDFR_CD1,HCPCS_1ST_MDFR_CD,HCPCS Initial Modifier Code,CHAR,5.0,8.0,
MDFR_CD2,HCPCS_2ND_MDFR_CD,HCPCS Second Modifier Code,CHAR,5.0,9.0,
MDFR_CD3,HCPCS_3RD_MDFR_CD,HCPCS Third Modifier Code ,CHAR,5.0,10.0,
REV_UNIT,REV_CNTR_UNIT_CNT,Revenue Center Unit Count,NUM,8.0,11.0,
REV_RATE,REV_CNTR_RATE_AMT,Revenue Center Rate Amount,NUM,12.0,12.0,
REV_CHRG,REV_CNTR_TOT_CHRG_AMT,Revenue Center Total Charge Amount,NUM,12.0,13.0,
REV_NCVR,REV_CNTR_NCVRD_CHRG_AMT,Revenue Center Non-Covered Charge Amount,NUM,12.0,14.0,
REVDEDCD,REV_CNTR_DDCTBL_COINSRNC_CD,Revenue Center Deductible Coinsurance Code,CHAR,1.0,15.0,
REV_CNTR_NDC_QTY,REV_CNTR_NDC_QTY,Revenue Center National Drug Code (NDC) Quantity,NUM,10.0,16.0,
REV_CNTR_NDC_QTY_QLFR_CD,REV_CNTR_NDC_QTY_QLFR_CD,Revenue Center NDC Quantity Qualifier Code,CHAR,2.0,17.0,
RNDRNG_PHYSN_UPIN,RNDRNG_PHYSN_UPIN,Revenue Center Rendering Physician UPIN,CHAR,12.0,18.0,
RNDRNG_PHYSN_NPI,RNDRNG_PHYSN_NPI,Revenue Center Rendering Physician NPI,CHAR,12.0,19.0,
RNDRNG_PHYSN_SPCLTY_CD,RNDRNG_PHYSN_SPCLTY_CD,Revenue Center Rendering Physician Specialty Code,CHAR,2.0,20.0,
IDENDC,REV_CNTR_IDE_NDC_UPC_NUM,"Revenue Center IDE, NDC, or UPC Number",CHAR,24.0,21.0,
REV_CNTR_PRCNG_IND_CD,REV_CNTR_PRCNG_IND_CD,Revenue Center Pricing Indicator Code,CHAR,2.0,22.0,
THRPY_CAP_IND_CD1,THRPY_CAP_IND_CD1,Revenue Center Therapy Cap Indicator 1 Code,CHAR,1.0,23.0,
THRPY_CAP_IND_CD2,THRPY_CAP_IND_CD2,Revenue Center Therapy Cap Indicator 2 Code,CHAR,1.0,24.0,
REV_CNTR_RP_IND_CD,REV_CNTR_RP_IND_CD,Revenue Center Representative Payee (RP) Indicator Code,CHAR,1.0,25.0,New2
RC_MODEL_REIMBRSMT_AMT,RC_MODEL_REIMBRSMT_AMT,Revenue Center Model Reimbursement Amount,NUM,12.0,26.0,New3
REV_CNTR_ADJUST_GRP_CD,REV_CNTR_ADJUST_GRP_CD,Revenue Center Adjustment Group Code,CHAR,2.0,27.0,New5
REV_CNTR_ADJUST_RSN_CD,REV_CNTR_ADJUST_RSN_CD,Revenue Center Adjustment Reason Code,CHAR,5.0,28.0,New5
